OBJECTID;SUID;SU_Count;SU_ModCount;SU_Row;SU_Line;SU_RInt;SU_LInt;SU_LU;SU_AgrCond;SU_Pass;SU_Vis;Strategy;AncientCount;SU_Sample;SU_Diag;SU_Frag;SU_Wear;SU_AC;SU_Daub;SU_HM;SU_Lithic;SU_Notes;SU_Date;Shape_Length;Shape_Area
811;72037;18;0;5;5;18;18;1;3;1;5;1;18;0;0;4;5;1;1;0;0; ;;409.149346392559380;10422.941832644308000
812;72038;12;0;5;5;18;18;1;3;1;5;1;12;0;0;4;5;1;0;0;0; ;;450.135030757871900;12606.368124316850000
813;72039;5;1;5;5;18;18;1;3;1;5;1;4;0;0;4;5;1;0;0;0; ;;434.577445002962290;11780.931291530535000
814;72040;21;0;5;5;18;18;1;3;1;5;1;21;0;0;4;5;1;0;0;0; ;;419.584832098845370;10972.791938665381000
815;72041;26;0;5;5;18;18;1;3;1;5;1;26;1;1;5;5;1;0;0;0; ;;424.297817856553590;11212.168331823748000
816;72042;30;0;5;5;18;18;1;3;1;5;1;30;0;0;5;5;1;0;0;0; ;;432.277701731184610;11631.569240567709000
817;72043;89;0;5;5;18;18;1;3;1;5;1;89;0;0;5;5;1;0;0;0; ;;330.770534245766040;5640.102615146704000
818;72044;40;0;5;5;18;18;1;3;1;5;1;40;0;0;4;5;1;0;0;0; ;;334.754203341721790;6634.423778847666700
819;72045;49;0;5;5;18;18;1;3;1;5;1;49;0;0;4;5;1;0;0;0; ;;385.550540738865210;9074.569925939455100
820;72046;18;0;5;5;18;18;1;3;1;5;1;18;0;0;4;5;0;0;0;0; ;;383.399923160231540;9050.274860975952800
821;72047;13;0;5;5;18;18;1;3;1;5;1;13;0;0;4;5;1;0;0;0; ;;394.009375626966290;9684.821275065169200
822;72048;8;0;5;5;18;18;1;3;1;5;1;8;0;0;4;5;0;0;0;0; ;;405.378733639650080;10260.344680821941000
823;72049;48;0;5;5;18;18;1;3;1;5;1;48;0;1;4;5;0;1;0;0; ;;439.419204504800750;12020.822690696546000
824;72050;41;0;7;5;18;18;1;3;1;5;1;41;1;1;4;5;1;0;0;0; ;;529.639635926097870;17062.473952318822000
825;72051;8;0;5;5;18;18;1;3;1;5;1;8;0;0;4;5;1;0;0;0; ;;425.625391405566920;11204.577084018310000
826;72052;34;0;5;5;18;18;1;3;1;5;1;34;0;1;4;5;1;0;0;0; ;;425.065922416401120;11265.529486041887000
827;72053;23;0;5;5;18;18;1;3;1;3;1;23;0;0;4;5;1;0;0;0; ;;390.508310579778710;9511.704740708652000
828;72054;19;0;5;5;18;18;1;3;1;3;1;19;0;0;4;5;0;0;0;0; ;;395.623553617769860;9778.853798673564600
829;72055;8;0;5;5;18;18;1;3;1;3;1;8;0;0;4;5;0;0;0;0; ;;410.178180612721970;10504.211063393926000
830;72056;9;0;5;5;18;18;1;3;1;3;1;9;0;0;4;5;0;1;0;0; ;;423.918300425634580;11223.477462283685000
831;72057;9;0;4;5;18;18;1;3;1;3;1;9;0;0;4;5;0;0;0;0; ;;356.394467935022020;7268.567734249889300
832;72058;5;0;5;5;18;18;1;3;1;3;1;5;0;0;4;5;1;0;0;0; ;;448.594106926533930;10431.151231235974000
833;72059;3;0;5;5;18;18;1;3;1;3;1;3;0;0;4;5;0;0;0;0; ;;400.288043105252940;10004.515994084510000
834;72060;10;0;5;5;18;18;1;3;1;3;1;10;0;0;4;5;1;0;0;0; ;;406.083629179582320;10275.353736519364000
835;72061;15;0;5;5;18;18;1;3;1;3;1;15;0;0;4;5;1;0;0;0; ;;381.371009572648750;9083.275684988500900
836;72062;14;0;5;5;18;18;1;3;1;3;1;14;0;0;4;5;1;0;0;0; ;;418.109130101484250;10880.221727242217000
837;72063;5;0;5;5;18;18;1;1;1;5;1;5;0;0;4;5;0;0;0;0; ;;412.210185675012840;10560.105246824403000
838;72064;46;0;5;5;18;18;1;3;1;5;1;46;0;0;4;5;1;0;0;0; ;;413.945832470767070;10691.530481348134000
839;72065;27;0;5;5;18;18;1;3;1;5;1;27;0;0;4;5;1;0;0;0; ;;388.073482244232880;9392.287745195692000
840;72066;5;0;5;5;18;18;1;3;1;5;1;5;0;0;4;5;1;0;0;0; ;;415.919788453530940;10784.468837428311000
841;72067;5;0;5;5;18;18;1;3;1;3;1;5;0;0;4;5;1;0;0;0; ;;427.503865108722440;11377.404281037943000
842;72068;18;0;6;5;15;18;1;3;1;3;1;18;0;0;4;5;1;0;0;0; ;;393.323247367420890;8316.424758221452100
843;72069;18;0;5;5;30;30;3;8;1;1;2;18;0;0;4;5;1;0;0;0; ;;584.423303195513880;19093.751029238199000
844;72070;2;0;6;5;30;30;3;1;1;1;2;2;0;0;4;5;1;0;0;0; ;;665.031602542368890;27094.762105680871000
845;72071;2;0;5;5;18;18;1;3;1;4;1;2;0;0;4;5;0;0;0;0; ;;444.776693257373610;12235.933620720061000
846;72072;3;0;5;5;18;18;1;3;1;5;1;3;0;0;4;5;1;1;0;0; ;;476.997983082179590;14190.902112132415000
847;72073;11;0;3;5;18;18;1;3;1;5;1;11;0;0;4;5;0;0;0;0; ;;377.303682505825120;7909.174244966898200
848;72074;0;0;5;5;18;18;1;3;1;5;1;0;0;0;4;5;0;0;0;0; ;;436.437781327556370;11876.044202573896000
849;72075;1;0;4;5;18;18;1;3;1;5;1;1;0;0;4;5;0;0;0;0; ;;412.010353454832280;10591.757168920361000
850;72076;1;0;4;5;18;18;1;3;1;5;1;1;0;0;4;5;0;0;0;0; ;;339.645983985445470;7094.738251674181800
851;72077;0;0;5;4;30;30;3;8;1;1;2;0;0;0;4;5;0;0;0;0; ;;546.919501428245210;18553.079003624101000
852;72078;3;0;3;5;30;30;3;8;1;1;2;3;0;0;4;5;0;0;0;0; ;;440.263092960125160;11634.913007550418000
853;72079;11;0;5;5;18;18;1;3;1;5;1;11;0;0;4;5;0;0;0;0; ;;427.208313348672110;11382.886918023558000
854;72080;3;0;5;5;18;18;1;3;1;5;1;3;0;0;4;5;0;0;0;0; ;;421.476733753478020;11097.739509098141000
855;72081;0;0;5;5;18;18;1;3;1;5;1;0;0;0;4;5;0;0;0;0; ;;435.611654413221060;11808.261323798368000
856;72082;1;0;5;5;18;18;1;3;1;5;1;1;0;0;4;5;0;0;0;0; ;;435.427583095389020;11821.357313959756000
857;72083;0;0;5;5;18;18;1;3;1;5;1;0;0;0;4;5;0;0;0;0; ;;430.769314419762910;11541.457176007199000
858;72084;3;0;4;5;18;18;1;3;1;5;1;3;0;0;4;5;0;0;0;0; ;;381.829450652172000;7630.979465084906200
859;72085;7;0;5;5;18;18;1;3;1;5;1;7;0;0;4;5;0;0;0;0; ;;572.333972630597030;19141.839679894198000
860;72086;1;0;5;5;18;18;1;3;1;5;1;1;0;0;4;5;0;0;0;0; ;;448.678724158252750;12500.992401143918000
861;72087;0;0;4;5;18;18;1;3;1;5;1;0;0;0;4;5;0;0;0;0; ;;358.358658190334950;7840.923707569827500
862;72088;2;0;5;5;15;15;1;3;1;5;1;2;0;0;4;4;1;1;0;0; ;;328.446695590972810;6692.736607831218000
863;72089;10;0;5;5;15;15;1;3;1;5;1;10;0;0;4;4;1;1;0;0; ;;341.370126553961310;7239.182686351770800
864;72090;6;0;5;5;15;15;1;3;1;5;1;6;0;0;4;4;1;0;0;0; ;;358.945291251920710;8025.574718148430300
865;72091;3;0;3;5;15;15;1;3;1;5;1;3;0;0;3;5;0;0;0;0; ;;302.185836372027100;5058.869187962704000
866;72092;1;1;5;5;15;15;1;3;1;5;1;0;0;0;3;5;0;0;0;0; ;;349.915208099758560;7361.111368575557200
867;72093;8;0;5;5;15;15;1;3;1;5;1;8;1;0;3;3;0;0;0;0; ;;347.891736802216200;7561.209679962350500
868;72094;11;0;6;5;15;15;1;3;1;5;1;11;0;0;3;3;1;0;0;0; ;;351.131587505883660;7688.023579385353500
869;72095;8;0;5;5;15;15;1;3;1;5;1;8;0;0;3;3;1;0;0;0; ;;358.438056363476050;8027.264096053435400
870;72096;17;0;5;5;15;15;1;3;1;5;1;17;0;1;3;3;1;0;0;0; ;;349.894825652824120;7588.354505251565600
871;72097;7;0;3;5;15;15;1;3;1;5;1;7;1;0;3;3;0;0;0;0; ;;301.014422994436590;5223.508988128747700
872;72098;4;0;5;5;15;15;1;3;1;5;1;4;0;0;3;3;1;0;0;0; ;;347.710046199528220;7483.798277336962200
873;72099;12;0;5;5;15;15;1;3;1;5;1;12;0;0;3;3;1;0;0;0; ;;356.856745142131670;7886.474131947755300
874;72100;7;0;4;5;15;15;1;3;1;5;1;7;1;0;3;3;0;0;0;1; ;;319.079828383861240;5970.146615646355700
875;72101;7;0;5;5;15;15;1;3;1;5;1;7;0;0;3;3;0;0;0;0;GW;;344.064917686380620;7372.034935077352200
876;72102;7;0;5;5;15;15;1;3;1;5;1;7;0;0;3;3;0;0;0;0; ;;374.715596768781670;8770.681108065535200
877;72103;4;0;3;5;15;15;1;3;1;5;1;4;0;0;3;3;1;0;0;0; ;;285.186176657298350;4358.310048617695400
878;72104;1;0;5;5;15;15;1;3;1;5;1;1;0;0;3;3;1;0;0;0; ;;342.675731117871010;7271.454574820923000
879;72105;8;0;7;5;15;15;1;3;1;5;1;8;0;0;3;3;1;0;0;0; ;;395.071471080885540;9515.063185537168500
880;72106;1;0;5;5;15;15;1;3;1;5;1;1;0;0;3;3;0;0;0;0; ;;358.056781328527960;7929.209422768315600
881;72107;3;0;5;5;15;15;1;3;1;5;1;3;0;0;3;3;1;0;0;0; ;;330.332843835147570;5746.192738472683200
882;72108;5;0;5;5;15;15;1;3;1;5;1;5;0;0;3;3;1;0;0;0; ;;338.947667192839390;6626.562163971156200
883;72109;0;0;5;5;15;15;2;3;1;3;1;0;0;0;3;3;0;0;0;0; ;;373.934652914711820;8718.032081992292700
